id;student_service;cafeteria;source_file;date;prod_type;production_location;actual_output;product_name;menu_text;group_level_2;code_main_protein;group_level_1
18995;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2018-10-25;essen ii/iii/iv(topsell);NA;160,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19120;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2019-01-24;essen ii/iii/iv(topsell);NA;57,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19179;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2019-03-07;essen ii/iii/iv(topsell);NA;142,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19256;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2019-04-18;essen ii/iii/iv(topsell);NA;76,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19446;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2019-10-18;essen ii/iii/iv(topsell);NA;74,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19618;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2020-02-07;essen iv/tagesangebot(ct);NA;60,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19664;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2020-03-13;essen ii/iii/iv(topsell);NA;32,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
19673;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2020-03-19;essen iv/tagesangebot(ct);NA;0,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
19778;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2020-10-30;z-schneller teller;NA;32,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
34985;Erlangen-Nürnberg;Erlangen-Nürnberg (mehrere Standorte);Erlangen-Nürnberg/Erlangen-Nürnberg.xlsx;2014-01-31;essen 1;Mensa Süd, ER;1137,00;msc - kibbelinge m kartofeln und dip;msc - fischnuggets mitremouladensosse undkartoffeln (f);fisch, knollen;fisch;pescetarisch
